,t,x,y,vx,vy,s
13274,1407.4436363636362,464500,-868000,-116.95421600341795,-76.25066375732422,1458.870849609375
13275,1453.631666666667,464500,-868500,-119.4227523803711,-71.76836395263672,1443.350341796875
13276,1521.3177777777778,464500,-869000,-121.95195770263672,-67.0919189453125,1433.55810546875
13277,1664.515,464500,-869500,-124.187744140625,-62.9320182800293,1430.4041748046875
13278,1685.0800000000002,464500,-872000,-122.80034637451172,-53.94222259521485,1458.3310546875
13279,1681.155,464500,-872500,-121.62701416015624,-54.0162239074707,1462.245849609375
13280,1331.218,464500,-874500,-120.34810638427734,-57.200904846191406,1449.5966796875
13281,1319.367,464500,-875000,-120.3156280517578,-57.19397735595703,1441.1514892578125
13282,1218.5055555555557,464500,-878000,-121.17427825927734,-55.96365737915039,1386.5447998046875
13283,1207.2916666666667,464500,-878500,-121.7873992919922,-54.30255889892578,1370.3145751953125
13284,1237.782,464500,-879000,-124.33161163330078,-48.605430603027344,1358.174560546875
13285,1288.029655172414,464500,-879500,-126.09908294677734,-45.93053817749024,1354.34716796875
13286,1293.9889473684211,464500,-880500,-129.22216796875,-42.91147994995117,1364.5069580078125
13287,1373.447142857143,464500,-881000,-130.58070373535156,-42.455657958984375,1372.08740234375
13288,1406.0466666666669,464500,-882500,-133.87823486328125,-41.741973876953125,1386.2684326171875
13289,1415.7535714285714,464500,-883000,-134.69400024414062,-41.44472503662109,1386.7528076171875
13290,1464.5536363636363,464500,-885000,-139.86460876464844,-40.425025939941406,1372.2222900390625
13291,1490.733846153846,464500,-885500,-140.44862365722656,-39.627662658691406,1369.45068359375
13292,1371.929,464500,-889000,-139.93875122070312,-44.58901977539063,1390.839111328125
13293,1363.841,464500,-889500,-139.91976928710938,-46.30280685424805,1389.1778564453125
13294,1596.594210526316,464500,-896500,-145.7954559326172,-44.23128890991211,1344.9647216796875
13295,1339.5281818181818,464500,-903000,-165.5462646484375,-29.77503776550293,1371.673095703125
13296,1315.4456666666667,464500,-903500,-167.154296875,-29.19651985168457,1371.736083984375
13297,1322.78,464500,-904000,-168.56973266601562,-28.597591400146484,1371.3504638671875
13298,1456.070909090909,464500,-905000,-170.9658660888672,-27.25812339782715,1368.9254150390625
13299,1529.777142857143,464500,-905500,-171.5946807861328,-27.366369247436523,1364.06494140625
13300,1360.6266666666668,464500,-906500,-173.59046936035156,-26.312522888183597,1346.3406982421875
13301,1415.743333333333,464500,-907000,-174.02301025390625,-24.412059783935547,1328.717529296875
13302,1575.3882352941175,464500,-907500,-174.46400451660156,-21.98876190185547,1323.863525390625
13303,1494.805,464500,-908000,-174.9281463623047,-19.51834487915039,1320.077392578125
13304,1457.1848648648647,464500,-908500,-175.73599243164062,-17.406953811645508,1323.3328857421875
13305,1474.5025,464500,-909000,-176.70704650878906,-15.842638969421388,1327.4300537109375
13306,1474.4717647058824,464500,-909500,-177.3157196044922,-14.468817710876465,1331.4033203125
13307,1288.13,464500,-913500,-169.83242797851562,-2.9635324478149414,1346.00244140625
13308,1266.2773469387755,464500,-914000,-167.13858032226562,-2.4678914546966557,1344.3743896484375
13309,1242.418125,464500,-914500,-164.270751953125,-0.7032708525657654,1340.9561767578125
13310,1280.9117647058824,464500,-917500,-137.68032836914062,5.391319751739502,1327.98388671875
13311,1198.1046153846155,464500,-918000,-133.6768035888672,6.164674282073975,1319.8525390625
13312,1247.0925,464500,-924000,-97.9289779663086,26.7334041595459,1379.392333984375
13313,1176.4209090909092,464500,-924500,-96.4156723022461,26.44412040710449,1378.5821533203125
13314,1129.6933333333334,464500,-925000,-95.97557067871094,25.130207061767575,1377.0589599609375
13315,1321.8455,464500,-927000,-88.32189178466797,24.10707092285156,1385.2332763671875
13316,1460.765,464500,-931500,-79.9609375,12.17668628692627,1401.0223388671875
13317,1420.6882352941177,464500,-932000,-80.00359344482422,11.340535163879396,1398.3792724609375
13318,1413.263333333333,464500,-932500,-78.66446685791016,11.047073364257812,1396.7257080078125
13319,1420.695294117647,464500,-933000,-75.46480560302734,10.242098808288574,1396.738037109375
13320,1442.2458823529412,464500,-933500,-74.76274871826172,9.816904067993164,1396.6263427734375
13321,1451.2229411764706,464500,-934000,-74.21705627441406,9.38388442993164,1395.035400390625
13322,1457.9183333333333,464500,-934500,-73.20449829101562,8.915290832519531,1393.5006103515625
13323,1460.5500000000002,464500,-935000,-73.69830322265625,8.323566436767578,1389.3978271484375
13324,1361.523529411765,464500,-941000,-48.886512756347656,7.691997051239014,1379.6279296875
13325,1374.2868421052633,464500,-941500,-46.08494567871094,7.933675765991211,1377.9251708984375
13326,1388.82,464500,-942000,-39.06342315673828,7.277691841125488,1375.0987548828125
13327,1479.452727272727,464500,-952500,-24.183040618896484,28.655771255493164,1458.66650390625
13328,1553.9301960784314,464500,-953000,-23.86174201965332,28.99692916870117,1466.080810546875
13329,1744.496666666667,464500,-953500,-23.191564559936523,29.22958374023437,1474.1492919921875
13330,1633.8325,464500,-962500,-15.647859573364258,23.414325714111328,1521.956787109375
13331,1651.5405263157895,464500,-963000,-15.047101974487305,23.24527359008789,1524.859375
13332,1664.1672727272728,464500,-963500,-14.27769374847412,22.726242065429688,1527.9915771484375
13333,530.8816666666667,464500,-973000,-3.2865922451019287,5.82293176651001,1636.8233642578125
13334,683.3755172413793,464500,-981500,0.8716642260551453,6.239851474761963,1803.453857421875
13335,808.4399999999999,464500,-982000,0.7065346837043762,6.578714370727539,1805.252685546875
13336,1416.7913333333331,465000,-807000,-21.292787551879883,-45.99141693115234,1856.2918701171875
13337,1429.6325,465000,-807500,-20.74779891967773,-46.33385467529297,1845.5677490234373
13338,1459.549090909091,465000,-808000,-20.40780639648437,-46.96913146972656,1834.0364990234373
13339,1490.5357142857142,465000,-808500,-20.128337860107425,-47.606746673583984,1824.7706298828125
13340,1516.3966666666668,465000,-809000,-19.904998779296875,-47.55175018310547,1816.805419921875
13341,1843.75,465000,-810500,-19.969194412231445,-47.19180679321289,1810.6712646484373
13342,1848.5776470588237,465000,-811000,-19.964200973510746,-47.74543762207031,1811.244384765625
13343,1873.281,465000,-821500,-29.73653793334961,-59.02783966064453,1776.59228515625
13344,1891.5344444444445,465000,-822000,-31.01593780517578,-59.886756896972656,1774.664306640625
13345,1901.16,465000,-840000,-79.97068786621094,-72.494384765625,1629.184814453125
13346,1871.0380952380956,465000,-840500,-80.29267883300781,-72.26558685302734,1626.0482177734375
13347,1830.8533333333328,465000,-841000,-80.70494079589844,-72.11822509765625,1623.7894287109375
13348,1651.3997142857145,465000,-842000,-81.50755310058594,-73.04733276367188,1617.55029296875
13349,1419.788125,465000,-851000,-96.3720474243164,-65.86847686767578,1588.67724609375
13350,1406.821875,465000,-851500,-97.1039810180664,-66.27267456054688,1584.973388671875
13351,1404.505,465000,-855500,-100.28831481933594,-69.8185806274414,1543.4034423828125
13352,1490.65375,465000,-856000,-100.85425567626952,-69.6236572265625,1538.8712158203125
13353,1496.076,465000,-857500,-102.15448760986328,-69.94664764404297,1537.189453125
13354,1481.3445,465000,-858000,-102.26808166503906,-70.37367248535156,1535.6630859375
13355,1495.3275,465000,-858500,-102.45606994628906,-70.74322509765625,1533.390625
13356,1561.812,465000,-859000,-102.8364486694336,-71.15846252441406,1531.457763671875
