,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
6558,419500_-926000,2528.95,,1,,,419500,-926000
6559,419500_-926500,2517.7935,4.253996603814298,20,0.9512225582182011,0.9512225582182011,419500,-926500
6560,419500_-928500,2454.2486363636363,5.851050614209994,22,1.247448182382505,1.247448182382505,419500,-928500
6561,419500_-929000,2464.423,2.7115583012455113,20,0.6063228686538815,0.6063228686538815,419500,-929000
6562,419500_-929500,2472.3842857142854,1.5196913847099618,7,0.5743893533585634,0.5743893533585634,419500,-929500
6563,419500_-930500,2372.073125,8.564416087315346,16,2.1411040218288364,2.1411040218288364,419500,-930500
6564,419500_-931000,2369.953076923077,12.36960615420957,13,3.4307114804844256,3.4307114804844256,419500,-931000
6565,419500_-934000,1443.6518181818183,10.047935925533919,11,3.0295666711389475,3.0295666711389475,419500,-934000
6566,419500_-934500,1438.5746666666666,6.107323316743355,15,1.5769040997100838,1.5769040997100838,419500,-934500
6567,419500_-935000,1689.96,0.777817459305138,2,0.5499999999999545,0.5499999999999545,419500,-935000
6568,419500_-935500,1681.2935000000002,3.9557636497436244,20,0.8845356423749412,0.8845356423749412,419500,-935500
6569,419500_-936000,1674.4450000000002,0.4224860286972219,10,0.13360181302824817,0.13360181302824817,419500,-936000
6570,419500_-938500,1545.4119999999998,37.731662448282286,10,11.93179932412172,11.93179932412172,419500,-938500
6571,419500_-939000,1726.5375,75.04558761179767,16,18.761396902949418,18.761396902949418,419500,-939000
6572,419500_-939500,1494.8017647058823,90.31667109643263,17,21.905010275574195,21.905010275574195,419500,-939500
6573,419500_-940500,1042.0525,113.83854446832434,16,28.459636117081086,28.459636117081086,419500,-940500
6574,419500_-941500,549.5377777777778,70.73172385483845,18,16.671627194256853,16.671627194256853,419500,-941500
6575,419500_-942500,365.61315789473684,7.912056238306735,19,1.8151501883362957,1.8151501883362957,419500,-942500
6576,419500_-986000,173.6858536585366,26.687443018731678,41,4.167878371423144,4.167878371423144,419500,-986000
6577,419500_-986500,154.055,1.7521158637487526,6,0.7152983060700431,0.7152983060700431,419500,-986500
6578,420000_-803500,1447.8817647058825,31.205261021840062,17,7.568387486353898,7.568387486353898,420000,-803500
6579,420000_-815500,1562.1499999999999,6.8415129905599,17,1.659310629359637,1.659310629359637,420000,-815500
6580,420000_-836000,1619.9856,9.853062163611826,25,1.970612432722365,1.970612432722365,420000,-836000
6581,420000_-837000,1671.7923529411764,8.61825064137999,17,2.0902328060268736,2.0902328060268736,420000,-837000
6582,420000_-840500,1562.505,9.28999641191182,4,4.64499820595591,4.64499820595591,420000,-840500
6583,420000_-841000,1578.0861538461538,3.2402765788883836,13,0.8986910270667003,0.8986910270667003,420000,-841000
6584,420000_-848500,1558.5128571428572,11.070235941908596,7,4.184155893871289,4.184155893871289,420000,-848500
6585,420000_-849000,1543.0015789473684,9.024804253437583,19,2.0704320908405505,2.0704320908405505,420000,-849000
6586,420000_-849500,1550.4871428571428,8.596099336880826,7,3.249020155799129,3.249020155799129,420000,-849500
6587,420000_-861000,1158.5372727272727,26.897430394336624,11,8.109880403883242,8.109880403883242,420000,-861000
6588,420000_-861500,1170.5682352941176,23.277664518614966,17,5.645662913408351,5.645662913408351,420000,-861500
6589,420000_-862000,1151.735294117647,17.33942873830005,17,4.205429186816557,4.205429186816557,420000,-862000
6590,420000_-862500,1180.0088888888888,3.956623469708141,18,0.9325850953441577,0.9325850953441577,420000,-862500
6591,420000_-863000,1185.8947058823528,5.833637499072702,17,1.4148649170729881,1.4148649170729881,420000,-863000
6592,420000_-863500,1158.370588235294,6.040631662529416,17,1.465068375885835,1.465068375885835,420000,-863500
6593,420000_-864000,1146.09,0.9181230854302187,9,0.3060410284767396,0.3060410284767396,420000,-864000
6594,420000_-879000,1293.0728571428572,21.148878649513993,14,5.652275572924267,5.652275572924267,420000,-879000
6595,420000_-879500,1303.7322727272729,45.176531510848065,22,9.631668880574615,9.631668880574615,420000,-879500
6596,420000_-880000,1382.9225000000001,41.7520407542298,8,14.761575572846493,14.761575572846493,420000,-880000
6597,420000_-884000,1777.4811111111112,76.88977939338494,18,18.123094804333387,18.123094804333387,420000,-884000
6598,420000_-887500,1549.5615,41.946574827235175,20,9.379539273697935,9.379539273697935,420000,-887500
6599,420000_-888000,1448.7133333333334,18.48869892336365,12,5.337227650184974,5.337227650184974,420000,-888000
6600,420000_-891000,1616.955,4.080006127446366,2,2.884999999999991,2.884999999999991,420000,-891000
6601,420000_-891500,1549.931875,38.10032147174095,16,9.525080367935237,9.525080367935237,420000,-891500
6602,420000_-894000,1556.0175,3.382234046138405,8,1.1958003147922402,1.1958003147922402,420000,-894000
6603,420000_-894500,1539.0938888888888,7.089856995893649,18,1.6710953198130947,1.6710953198130947,420000,-894500
6604,420000_-895000,1517.8383333333334,4.805510623538429,18,1.1326697163226727,1.1326697163226727,420000,-895000
6605,420000_-895500,1504.664,3.1078819153886887,5,1.3898870457702714,1.3898870457702714,420000,-895500
6606,420000_-897000,1571.496666666667,15.984972354573248,18,3.767694116332746,3.767694116332746,420000,-897000
6607,420000_-900500,1548.734705882353,7.982979642376003,17,1.9361569572159858,1.9361569572159858,420000,-900500
6608,420000_-902000,1470.37,,1,,,420000,-902000
6609,420000_-902500,1439.2315789473685,17.653131690426275,19,4.049906161872814,4.049906161872814,420000,-902500
6610,420000_-903000,1379.0705555555555,17.89662849359919,18,4.218275789400125,4.218275789400125,420000,-903000
6611,420000_-903500,1339.6422222222222,7.161472924227505,9,2.387157641409168,2.387157641409168,420000,-903500
6612,420000_-907000,2286.33,2.6524490031449153,8,0.9377823384376338,0.9377823384376338,420000,-907000
