lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
150.917917,-82.147951,415305.119378741,-746705.4233813552,2100.23,1328.53,771.71,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.9683632980934433,-4.8155343191962725,0.30223482582728073,0.4018674317023557,-3943.5596924160823,-6397.581809081824,401.52803315631724,533.8929390395307,6
150.864188,-82.159197,415407.54983520793,-745243.5308375175,2119.6,1502.92,616.68,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.3699598840537575,-3.3418226919725518,0.3471165582177375,0.46091289433535926,-5064.780108942074,-5022.492160219388,521.6884176766021,692.7152071544982,6
150.810221,-82.170426,415511.6064446021,-743782.0113950686,2114.7,1499.0,615.7,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.2176930396268495,-3.705153874445374,0.3420686195668474,0.44720892118270067,-4823.321866400647,-5554.025657793616,512.7608607307043,670.3661728528683,6
150.75791,-82.181801,415584.0474603463,-742319.0801024251,2131.11,1367.56,763.55,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.9748639950368965,-4.175445942757552,0.3136593790271133,0.40171209243144185,-4068.305005052658,-5710.1728534775175,428.9480203823191,549.3653891255426,6
150.706398,-82.193255,415639.6219552935,-740854.928468772,2147.07,1420.44,726.63,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.300354867768675,-3.770803523782882,0.35360586782878856,0.4547626558375005,-4687.956068373337,-5356.200157322157,502.27591889872446,645.9630668578192,6
150.65051,-82.204314,415770.5076388085,-739397.1168410594,2133.46,1443.48,689.98,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.364638695371782,-3.4300744689148672,0.4124813069873517,0.5318909922215654,-6300.26866399526,-4951.243894389233,595.4085170101024,767.7740094519853,6
150.559035,-82.205495,416887.1013487648,-738620.134957289,2145.36,1446.07,699.29,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.406241757519346,-2.844305292863698,0.379558479167226,0.4855224652178969,-6371.734018296001,-4113.064554851408,548.8681299693505,702.099471277644,6
150.586732,-82.206901,416454.6428559258,-738687.9069797623,2146.78,1470.84,675.94,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.35800555524221,-2.90321908428276,0.38907150592084516,0.49873743683472244,-6409.928890872452,-4270.170757926454,572.2619337686159,733.5629715939831,6
150.502603,-82.200049,417907.0365226047,-738726.4912107586,2151.86,1432.08,719.78,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-5.113508311674625,-2.7658799573860535,0.4125461928325581,0.5254441442806836,-7322.952982982997,-3960.9613693734195,590.7991518316497,752.4780501414814,6
150.41509,-82.193817,419370.6681583751,-738678.7934285129,2156.16,1361.99,794.17,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-5.304807331833817,-2.3455978552960604,0.4021258088213715,0.5054174545548005,-7225.09453788434,-3194.680822934681,547.6913303566198,688.3735189290927,6
150.325997,-82.188177,420823.5129178042,-738560.6086487158,2168.27,1333.8,834.47,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.968256487449029,-1.80903641569492,0.3437697984542765,0.42873174130025266,-6626.660502959515,-2412.892771253884,458.520157178314,571.842396546277,6
150.236524,-82.182505,422283.6366053964,-738439.9249168701,2179.21,1317.7,861.51,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.94249386868076,-1.3385550621202598,0.3002908005740707,0.3671811474656058,-6512.724170760638,-1763.8140053558664,395.693187916453,483.8345980154288,6
150.156741,-82.174747,423732.83223062666,-738585.613661878,2197.37,1349.54,847.83,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.2154166560344395,-1.3832610152287454,0.2966545884153784,0.3630429842544637,-5688.873393984717,-1866.766070491801,400.34723325008974,489.9410289707689,6
